title,company,location,url
Senior Full Stack Developer,Man Group,"Hybrid work in New York, NY",https://www.indeed.com/rc/clk?jk=f38318695ca38a13&bb=0-1sqJAWzUd9lkG653DYJbr3vGuuTsn2slgx3Ti-OBPRiWq-DPpZ94AQ_VNwbW9g2Jf_RmNt2Thodxd-p7_e0Og7KMOx9l8PJhICdG9eDXxv0o0DCjHme6taMBY1WzVY&xkcb=SoBU67M3-Ho-FIwGBB0LbzkdCdPP&fccid=8fae5325d7f74b28&vjs=3
Developer (VBA and SQL),Franklin Templeton Investments,"Hybrid work in New York, NY 10151",https://www.indeed.com/rc/clk?jk=af8c9304e44fa0e1&bb=0-1sqJAWzUd9lkG653DYJSnJ7Kc60XUk7PLz9tlYCjGEhinlyvwlF95MZi7HSwUABcmOU31C4XDM1XmLyeMYoOuA7pHd3CjGPt-lt5UgJRUOjx2d9tUI2Q%3D%3D&xkcb=SoDg67M3-Ho-FIwGBB0KbzkdCdPP&fccid=bde2032ae798a617&vjs=3
Senior Python Developer,AppCard,"New York, NY 10038 (Financial District area)",https://www.indeed.com/rc/clk?jk=b1570acbb19c91c0&bb=0-1sqJAWzUd9lkG653DYJXvTx5hT4HPMukBcbVOTqQESOsq4mrpGQvM87iBeJgQA_tv6e0B0xhpEWv103FDpZACn3wfaYrcRbSjKDUQfJtnUmCL6zIb-OAuG1Y_FlOQh&xkcb=SoB967M3-Ho-FIwGBB0JbzkdCdPP&fccid=e1014895437de2b7&vjs=3
Senior C/C++ Developer with Python & Perl scripting,Intone Networks,"New York, NY 11211 (Williamsburg area)",https://www.indeed.com/rc/clk?jk=79026f895a1d8a09&bb=0-1sqJAWzUd9lkG653DYJTgK5GeQUNmJp-HEIvivhqSNPDuHkw0fEkR5GKqth8AQcTaNDWxvQXch61y18zEhVTbVhMSrFxcrwOc-5uAX2m1FoV-1PP1vQG5T0mNkGmDV&xkcb=SoDJ67M3-Ho-FIwGBB0IbzkdCdPP&fccid=3ed0572c448b2368&vjs=3
Quantitative Research,JPMorgan Chase & Co,"New York, NY 10017 (Midtown area)",https://www.indeed.com/rc/clk?jk=aeb0733e1aaf0822&bb=0-1sqJAWzUd9lkG653DYJSFNUgCnlh0Q7gbGeePrp43ifglCoOQNzT_Xrzw3vK2MgObrW-xxZYk22zSL-OwlxbVus0rSMoH4_PHQ8SXTkxMjU1jLlYuhtg%3D%3D&xkcb=SoBH67M3-Ho-FIwGBB0PbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3
Quantitative Trader,UBS,"New York, NY (Midtown area)",https://www.indeed.com/rc/clk?jk=977cb13f9b712417&bb=0-1sqJAWzUd9lkG653DYJcJ0NQrE4mAeZBdOhVDhIgtfBCmq2d8E0PTwWKh2po-MMV6BkAfqoWZRT2zxHPtM0GiQ0n6o9jJ-JT9uQIP-MR8Y7aR3g2O1ag%3D%3D&xkcb=SoDz67M3-Ho-FIwGBB0ObzkdCdPP&fccid=1c76c3a36f6c7557&vjs=3
Developer Advocate,Uber,"New York, NY",https://www.indeed.com/rc/clk?jk=263648928313ac74&bb=0-1sqJAWzUd9lkG653DYJXVMiq1zYHoR8H9RsswqKhRu42IotMCSBFGuvEh8Wi_GT0rSuBeM3s7yIe0AcZatUAb3SMIPRUFq4-iNaX5KwlY89mmACIhLjGzO_u-ZUl3W&xkcb=SoBu67M3-Ho-FIwGBB0NbzkdCdPP&fccid=f766f8bfbc3effb7&vjs=3
Senior Azure Microservices Developer,Lazard,"New York, NY",https://www.indeed.com/rc/clk?jk=fe527fd9c78361a7&bb=0-1sqJAWzUd9lkG653DYJSy0kgeChKWSuWsCfGL4Hde1LzgCdGg27MrORvY71YdHR5ixy-Xfc8v7dXqvzBxOKklDG4COCriJBnPZ51ji1TNV7eLX-US8pScod9Jiu2Km&xkcb=SoDa67M3-Ho-FIwGBB0MbzkdCdPP&fccid=f16b975bd9c56fcd&vjs=3
SQL Developer Full time consultant on site New York City 5 days/week,"Traxion Group, Inc","New York, NY 10018 (Clinton area)",https://www.indeed.com/rc/clk?jk=41eee4c1a0692196&bb=0-1sqJAWzUd9lkG653DYJTg4Jf9oIIsbfuMjXjvcMp1_Z-AAUPPmVjkM8z0F20hU55L-CHOGgjosZWwZWH0_coe-VsUomT2YOOZ2hYygZ9Md0ZZEADn0QUNWrKhNmVzh&xkcb=SoAz67M3-Ho-FIwGBB0DbzkdCdPP&fccid=b3405b3373f9bb39&vjs=3
Data Scientist,JPMorgan Chase & Co,"New York, NY 10017 (Midtown area)",https://www.indeed.com/rc/clk?jk=104a65bd1ac1e970&bb=0-1sqJAWzUd9lkG653DYJTuuZXMGHQeL0sUG5sF93fTEc40xllKsd1K2P6V5EYV5_Ru6R2yKGM7KCB6hYuciY3ipXYqOyKufCDYxc8-lgngfErt0DCr6hw%3D%3D&xkcb=SoCH67M3-Ho-FIwGBB0CbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3
Data Analytics Consulting Analyst/Associate (2025 Bachelor's/Master's graduates),bioStrategies Group,"New York, NY",https://www.indeed.com/rc/clk?jk=664ddf4c33bb5fe6&bb=0-1sqJAWzUd9lkG653DYJYFk8qcQEAb8F2jrc_PoPwUErCsu1P_GMQjV6Dr_5czLfQxTIQrBWZkWJ_nu2PgGjBLFoiu7iP3MeGmwBg6xNDXzKPjIhfS9SXz5WG5QHyB3&xkcb=SoAa67M3-Ho-FIwGBB0BbzkdCdPP&fccid=27ea6c97edc2783a&vjs=3
Xarray community developer,EARTHMOVER,"New York, NY",https://www.indeed.com/rc/clk?jk=c6bd45ba345466d8&bb=0-1sqJAWzUd9lkG653DYJUgmAITs53YWrnQHW2Au7w2ASGWUFubS1T9FM-ONPDp-YZOKyZgGft8OQIkcw_sRRP0k7akRPZsZ5v1GVoBx7T2cfw6SSU7Mu4-dBi7DS8jO&xkcb=SoCu67M3-Ho-FIwGBB0AbzkdCdPP&fccid=4e5d2fbc3061f755&vjs=3
Quantitative Research Analyst,Invesco,"New York, NY",https://www.indeed.com/rc/clk?jk=50abd33e4af6da76&bb=0-1sqJAWzUd9lkG653DYJb8Tmc42mSHXaVD7-lr7NIQfOMOGLfPcGuI71ncyzrKX0ZRr1jirSPx8ispC3wqhr4Gk1juzoW6W0tHxh9ktyRB2Ls9vzaaUkNeeBeGOKzNw&xkcb=SoAg67M3-Ho-FIwGBB0HbzkdCdPP&fccid=61e847dda35dc377&vjs=3
Full Stack Software Engineer,Point72,"New York, NY",https://www.indeed.com/rc/clk?jk=2769f17b9818b7df&bb=0-1sqJAWzUd9lkG653DYJQrRuQSwAStSXMBfSIndiEAc5jXyOsLRQvJKjC9CPQJmzj8ln8IlhcOD6OTRe0ucGe3ju1cNIxlzAcQF-paJywjJpcFs6aqxG_ZKSIpf4mP_&xkcb=SoCU67M3-Ho-FIwGBB0GbzkdCdPP&fccid=89add93ce58a63fa&vjs=3
"Fullstack Engineer, Investment Technology",Lazard,"New York, NY",https://www.indeed.com/rc/clk?jk=bc631bfe5b1339aa&bb=0-1sqJAWzUd9lkG653DYJco8Xg7i1IRmtClHIMmkGm_OS3O5Kv6AZ4lF1GTP8S6mO8sOK3qxz8b06dTZ8NA0aN3BrFgGhSYQ_kqm0ykbtvIPXP5A6iRlrKeWBGM-VfpO&xkcb=SoAJ67M3-Ho-FIwGBB0FbzkdCdPP&fccid=f16b975bd9c56fcd&vjs=3
